repo,language,fileCount,rawTokens,finalTokens,reductionPct,coverageGrade,coveragePct,healthScore,healthGrade,hitAt5,mrr,tasks
devise,Ruby,200,135357,8682,93.6,B,84.26395939086294,100,A,,,0
diesel,Rust,823,925805,30463,96.7,C,71.5670436187399,100,A,,,0
directx-toolkit,Unknown,136,483336,12287,97.5,B,78.43137254901961,100,A,,,0
discourse-forum,Ruby,9252,6606901,149894,97.7,D,22.227008399741546,100,A,,,0
django,Python,3458,4792824,184180,96.2,C,51.54742096505823,100,A,,,0
django-rest-framework,Python,92,175752,10036,94.3,B,80.23255813953489,100,A,,,0
docker-buildkit,Go,957,1904731,102239,94.6,A,94.23692636072573,100,A,,,0
docker-compose-examples,JavaScript,141,11846,1214,89.8,D,23.333333333333332,100,A,,,0
docker-official,Python,142,17498,1778,89.8,D,40.909090909090914,100,A,,,0
dotnet-runtime,CSharp,32830,115856084,151122,99.9,D,5.375500274660598,100,A,,,0
dotty,Scala,19111,3770860,82884,97.8,C,68.55859534503878,100,A,,,0
doxygen-generator,Unknown,726,6345683,71157,98.9,C,72.85276073619632,100,A,,,0
drone-ci,Go,4294,4770565,179772,96.2,D,35.803374908290536,100,A,,,0
druid,Java,5427,3011958,145681,95.2,A,91.95822454308093,100,A,,,0
efcore,CSharp,5791,13182709,158184,98.8,D,34.94520786223691,100,A,,,0
elastic-beats,Go,6072,7507689,155038,97.9,D,25.254202116621705,100,A,,,0
elasticsearch,Java,30351,31691105,156409,99.5,D,9.184501470737397,100,A,,,0
elixir-lang,Unknown,337,1461111,31123,97.9,A,98.85057471264368,100,A,,,0
elixir-mix,Unknown,337,1461111,31123,97.9,A,98.85057471264368,100,A,,,0
emscripten,Unknown,2881,6550761,152941,97.7,D,37.88190868520426,100,A,,,0
envoy-proxy,Unknown,4794,8047649,163166,98,D,23.402442487929566,100,A,,,0
erlang-lang,Unknown,918,8320764,132894,98.4,C,74.28307123034227,100,A,,,0
esbuild,Go,203,2137855,29217,98.6,A,92.57142857142857,100,A,,,0
esp-idf,Unknown,5199,16379912,171467,99,D,11.1333400020006,100,A,,,0
